"brood_year","hatchery_location_name","tag_code","Total_Released","Phi"
2011,"COLEMAN NFH","55508",471162,0.248778551750778
2011,"COLEMAN NFH","55509",421217,0.24860582550087
2011,"COLEMAN NFH","55510",482783,0.248772222717038
2011,"COLEMAN NFH","55511",431489,0.248775750946142
2011,"COLEMAN NFH","55512",421846,0.248815918605368
2011,"COLEMAN NFH","55513",468128,0.247780521566751
2011,"COLEMAN NFH","55515",469534,0.247730728765116
2011,"COLEMAN NFH","55516",377116,0.247738096500811
2011,"COLEMAN NFH","55517",455678,0.248554900609641
2011,"COLEMAN NFH","55518",386562,0.249884882632023
2011,"COLEMAN NFH","55519",478885,0.249922215145599
2011,"COLEMAN NFH","55520",444565,0.249891466939593
2011,"COLEMAN NFH","55522",473996,0.249898733322644
2011,"COLEMAN NFH","55523",505862,0.249878425341299
2011,"COLEMAN NFH","55524",479604,0.249891577217871
2011,"COLEMAN NFH","55526",429874,0.24991276513583
2016,"FEATHER R HATCHERY","601020809",2700,1
2016,"FEATHER R HATCHERY","601020901",4969,1
2013,"FEATHER R HATCHERY","60572",100092,0.992626783359309
2011,"FEATHER R HATCHERY","60429",241420,0.997792229309916
2013,"FEATHER R HATCHERY","60565",1584730,0.244946457756211
2011,"FEATHER R HATCHERY","60394",1584392,0.24928553034855
2013,"FEATHER R HATCHERY","60566",1550124,0.244660427165827
2017,"FEATHER R HATCHERY","61457",333480,0.247166246851385
2020,"FEATHER R HATCHERY","62294",334823,0.247402358858262
2017,"FEATHER R HATCHERY","61458",337736,0.249363408105739
2020,"FEATHER R HATCHERY","62295",343744,0.248737432507913
2020,"FEATHER R HATCHERY","62296",343399,0.247793383207289
2017,"FEATHER R HATCHERY","60456",141660,0.249251729493153
2018,"FEATHER R HATCHERY","61992",333088,0.248291742722644
2011,"FEATHER R HATCHERY","60392",1563750,0.249080735411671
2020,"FEATHER R HATCHERY","62297",345617,0.248413706501706
2020,"FEATHER R HATCHERY","62343",981529,0.24623622939312
2020,"FEATHER R HATCHERY","62344",1018437,0.242957590896639
2011,"FEATHER R HATCHERY","60393",1569100,0.249201453062265
2011,"FEATHER R HATCHERY","60391",1544150,0.248486869798918
2017,"FEATHER R HATCHERY","60653",4008430,0.249231245150845
2011,"FEATHER R HATCHERY","69502",100232,0.996697661425493
2017,"FEATHER R HATCHERY","61462",333200,0.249186674669868
2017,"FEATHER R HATCHERY","61456",336630,0.249071681074176
2011,"FEATHER R HATCHERY","68735",16735,0.996713474753511
